CUSTOMER_CDE,SNAPSHOT,SEGMENTATION,TOI_DP,TOI_LN,TOI_FEE,TOI_FX,TOI_TOTAL,ACTUAL_BAL_LCL_D0,AVG_AMT_LCL_D0,ACTUAL_BAL_LCL_CASA_D0,AVG_AMT_LCL_CASA_D0,ACTUAL_BAL_LCL_SAVING_D0,AVG_AMT_LCL_SAVING_D0,score
19607112,S9,NONE,375339.287461,0.0,693000,0.0,1068339.287461,4914517.0,12475589.166667,4914517.0,12475589.166667,,,-37.232173
19610225,S9,MSME,246010.356181,0.0,1714000,0.0,1960010.356181,2992447.0,7201168.266667,2992447.0,7201168.266667,,,-35.866066
19623998,S9,NONE,330996.477901,0.0,1194000,0.0,1524996.477901,66225.0,8240977.233333,66225.0,8240977.233333,,,-58.468568
17485872,S9,MSME,152715.273584,0.0,1386000,0.0,1538715.273584,3015149.0,3116625.633333,1955811.0,2057287.633333,1059338.0,1059338.0,-53.494909
17238448,S9,MSME,877822.050184,0.0,1308000,0.0,2185822.050184,1501211.0,1602851.0,452211.0,553851.0,1049000.0,1049000.0,-84.746983
12216707,S9,MSME,747435.432122,0.0,693000,0.0,1440435.432122,1664094.0,12252905.333334,1664094.0,12252905.333334,,,-36.389655
12813098,S9,MSME,299203.23824,0.0,669100,0.0,968303.23824,2983884.0,7579270.1,2983884.0,7579270.1,,,-40.310356
12837824,S9,MSME,6318647.179456,0.0,1398000,0.0,7716647.179456,264670104.0,258131547.200003,264670104.0,258131547.200003,,,40.831968
12954515,S9,MSME,273896.94902,0.0,1335080,0.0,1608976.94902,1438200.0,7944839.3,1438200.0,7944839.3,,,-59.360112
12926485,S9,MSME,123671.197355,0.0,1286000,0.0,1409671.197355,2453335.0,5625801.733334,2453335.0,5625801.733334,,,-39.038845
12913343,S9,MSME,6350537.89033,0.0,1849547,0.0,8200084.89033,40401354.0,133872694.233336,40401354.0,133872694.233336,,,14.304591
12930899,S9,MSME,1720257.650557,0.0,1358000,0.0,3078257.650557,156068575.0,66668767.166667,156068575.0,66668767.166667,,,13.562485
17823050,S9,MSME,4979.753608,28296237.703206,365000,0.0,28666217.456814,69540.0,228695.933333,69540.0,228695.933333,,,-98.860653
18358557,S9,NONE,342804.347796,0.0,1694000,0.0,2036804.347796,2272847.0,2364120.766667,1160735.0,1252008.766667,1112112.0,1112112.0,-58.990581
13575202,S9,MSME,588920.856854,0.0,1673600,0.0,2262520.856854,136080632.0,29150479.433335,133856062.0,26925909.433335,2224570.0,2224570.0,-4.61516
3207180,S9,DNL,567267230.31236,4129639386.607132,61807968,0.0,4758714584.919492,31752103419.0,3981613484.533334,31752103419.0,3981613484.533334,,,101.063223
17606712,S9,SME,2897784.26205,22730459.860752,4079559,0.0,29707803.122802,6568081.0,6760642.9,5502378.0,5694939.9,1065703.0,1065703.0,-21.891446
19508927,S9,NONE,452457.607116,0.0,562000,0.0,1014457.607116,104013.0,28058389.733333,104013.0,28058389.733333,,,-55.371081
19570256,S9,SME,46962950.112892,434783705.255502,94633526,0.0,576380181.368394,1015136847.0,766309427.599999,1015030277.0,766202857.599999,106570.0,106570.0,90.775042
19171477,S9,MSME,1683045.337973,7694959.712457,3370491,2971720.61,15720216.66043,57367267.0,175277510.733334,57367267.0,175277510.733334,,,11.693251
19552565,S9,MSME,1033769.054813,0.0,660000,0.0,1693769.054813,213301.0,346767.666666,213301.0,346767.666666,,,-84.711487
9692135,S9,MSME,174699064.524774,0.0,0,0.0,174699064.524774,2675546287.0,2675546287.0,,,2675546287.0,2675546287.0,78.707025
11167479,S9,MSME,296122.133031,0.0,680000,0.0,976122.133031,8623537.0,10220802.666665,8623537.0,10220802.666665,,,-31.289672
11299503,S9,SME,3560.632922,0.0,0,0.0,3560.632922,114411.0,114411.0,114411.0,114411.0,,,-112.621442
15403652,S9,MSME,41925620.833878,0.0,3829096,4120000.0,49874716.833878,788768490.58,970322234.666001,788768490.58,970322234.666001,,,87.132042
15389265,S9,MSME,433903.825723,51739726.027255,2483000,0.0,54656629.852978,463814.0,266566.533334,463814.0,266566.533334,,,-76.559592
13549624,S9,MSME,148384.99133,33154.876722,2042000,0.0,2223539.868052,78175.0,18473718.266667,78175.0,18473718.266667,,,-53.710542
96635,S9,DNL,876280.167455,0.0,2093000,0.0,2969280.167455,29355726.0,29652343.566666,29355726.0,29652343.566666,,,-1.56733
19178811,S9,SME,443400.991275,4039452.054714,735000,0.0,5217853.045989,16761374.0,41632242.566668,16761374.0,41632242.566668,,,-16.749971
19753750,S9,MSME,6633.673812,35304657.534194,2400000,0.0,37711291.208006,359343.0,359343.0,359343.0,359343.0,,,-92.64538
19222787,S9,NONE,724720.872226,0.0,1802000,0.0,2526720.872226,470377.0,11091895.0,470377.0,11091895.0,,,-50.279749
12240838,S9,MSME,28574.0293,0.0,84000,0.0,112574.0293,21565.0,45318.333332,21565.0,45318.333332,,,-114.818956
9922299,S9,MSME,8255153.952182,0.0,3231000,0.0,11486153.952182,247437326.0,231623548.600001,247437326.0,231623548.600001,,,42.202249
9924618,S9,MSME,1081175.419862,0.0,693000,0.0,1774175.419862,46676924.0,46774848.133333,46676924.0,46774848.133333,,,-12.514709
5175314,S9,MSME,40982.411213,0.0,350000,0.0,390982.411213,1277619.0,1325380.3,1277619.0,1325380.3,,,-101.474059
20088218,S9,NONE,2449690.594768,0.0,700000,0.0,3149690.594768,107258128.0,137929319.966668,107258128.0,137929319.966668,,,6.935023
18682473,S9,SME,3356255.440471,115994095.785239,4240687,0.0,123591038.22571,120003411.0,107087197.299998,120003411.0,107087197.299998,,,23.057316
20097137,S9,MSME,2152519.790738,2920268.582192,1598733,0.0,6671521.37293,10409733.0,20598663.899999,10409733.0,20598663.899999,,,-9.355703
19431994,S9,MSME,438886.822857,0.0,764000,0.0,1202886.822857,4315086.0,4416375.1,4315086.0,4416375.1,,,-46.405818
19330522,S9,NONE,5777.445456,0.0,0,0.0,5777.445456,184700.0,184700.0,80000.0,80000.0,104700.0,104700.0,-114.021538
12758676,S9,MSME,95039.180483,0.0,495000,0.0,590039.180483,77553.0,44267.466667,77553.0,44267.466667,,,-96.521653
12736641,S9,MSME,436276.260814,0.0,630000,0.0,1066276.260814,19500781.0,15804898.633334,19500781.0,15804898.633334,,,-30.382483
12970579,S9,MSME,165244.375913,0.0,1190000,0.0,2138204.262306,124777.0,70150.733334,124777.0,70150.733334,,,-84.057033
12955193,S9,MSME,121045.25344,0.0,990000,0.0,1111045.25344,3950389.0,4074037.6,3950389.0,4074037.6,,,-46.874207
12978730,S9,MSME,51125.211858,0.0,1153455,0.0,1204580.211858,29043.0,1335603.333334,29043.0,1335603.333334,,,-90.239619
12961917,S9,MSME,196921.200304,0.0,1600000,0.0,1796921.200304,1500959.0,1644692.333333,402656.0,546389.333333,1098303.0,1098303.0,-94.054315
14154535,S9,MSME,20281011.16621,0.0,6768704,0.0,27049715.16621,303191687.0,252534270.799999,302135361.0,251477944.799999,1056326.0,1056326.0,45.258016
20470864,S9,NONE,2711158.996314,0.0,1699000,0.0,4410158.996314,76794840.0,101994090.133335,76794840.0,101994090.133335,,,7.427102
20457583,S9,MSME,1189770.06944,0.0,1096000,0.0,2285770.06944,101051747.0,47805988.966666,101051747.0,47805988.966666,,,-0.442353
20767478,S9,MSME,5229.986089,7615068.493159,1568909,0.0,9189207.479248,24756.0,203523.166667,24756.0,203523.166667,,,-94.190749
2094143,S9,MSME,35407.268374,0.0,0,0.0,35407.268374,2461353.0,2461353.0,,,2461353.0,2461353.0,-50.280226
15453387,S9,MSME,1479499.4626,22816983.481147,494350,0.0,24790832.943747,125507215.0,33520074.366667,125507215.0,33520074.366667,,,0.42578
15480173,S9,MSME,823233.802544,0.0,1215100,0.0,2038333.802544,19901431.0,34435282.299999,19901431.0,34435282.299999,,,-10.405484
16188194,S9,MSME,13298.756444,0.0,0,0.0,13298.756444,1168782.0,1139941.5,10000.0,10000.0,1158782.0,1129941.5,-120.792035
15531248,S9,MSME,127294.906599,57047671.233258,3818181,0.0,60993147.139857,3765336.0,3742479.133331,2667033.0,2644176.133331,1098303.0,1098303.0,-40.424162
15524281,S9,MSME,102708.227518,0.0,1068000,0.0,1170708.227518,2544417.0,2632716.7,1406192.0,1497446.433333,1138225.0,1135270.266667,-64.285084
12799157,S9,NONE,72111632.83316,0.0,2750000,0.0,74861632.83316,4846018429.0,4846049035.066667,260848429.0,260879035.066667,4585170000.0,4585170000.0,116.953606
5457310,S9,USME,1790391.66254,0.0,750455,0.0,2540846.66254,44173265.0,53457024.666668,44173265.0,53457024.666668,,,-4.670599
11208584,S9,MSME,719940.034216,0.0,1346000,0.0,2065940.034216,37299270.0,40957879.533334,37299270.0,40957879.533334,,,-8.582958
4555270,S9,MSME,5323243.50725,0.0,7549336,0.0,12872579.50725,33280494.0,139937498.766666,33280494.0,139937498.766666,,,13.597924
20218058,S9,NONE,144453.952532,0.0,1179000,0.0,1323453.952532,628376.0,8223309.099998,628376.0,8223309.099998,,,-61.061108
20226126,S9,NONE,324642.887029,0.0,813000,0.0,1137642.887029,9824515.0,14372876.899999,9824515.0,14372876.899999,,,-30.613823
19943515,S9,NONE,143789.304536,0.0,1033000,0.0,1176789.304536,1853732.0,2638328.900001,1853732.0,2638328.900001,,,-47.755151
